AAU,Almaden Minerals Ltd. Common Shares,$0.28 ,0.0022,0.80%,38037774,Canada,2015,109607,,
ACU,Acme United Corporation. Common Stock,$32.75 ,-1.04,-3.08%,116579749,United States,1988,3000,Consumer Durables,Home Furnishings
ACY,AeroCentury Corp. Common Stock,$4.30 ,0.15,3.61%,94961437,United States,,21969,Technology,Diversified Commercial Services
ADRA,Adara Acquisition Corp. Class A Common Stock,$9.81 ,0.005,0.05%,141018750,United States,2021,450,,
ADRT,Ault Disruptive Technologies Corporation Common Stock,$9.90 ,0,0.00%,142312500,,2022,1,,
AE,Adams Resources & Energy Inc. Common Stock,$32.18 ,0.87,2.78%,140143932,United States,,1792,Energy,Oilfield Services/Equipment
AEF,Aberdeen Emerging Markets Equity Income Fund Inc. Common Stock,$7.48 ,-0.07,-0.93%,379623299,United States,,5068,Finance,Finance/Investors Services
AGE,AgeX Therapeutics Inc. Common Stock,$0.69 ,-0.0142,-2.02%,26170444,,2018,10020,Health Care,Biotechnology: Pharmaceutical Preparations
AIM,AIM ImmunoTech Inc. Common Stock,$0.75 ,-0.0414,-5.24%,29688129,United States,,56197,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AINC,Ashford Inc. (Holding Company) Common Stock,$20.99 ,0.06,0.29%,63445843,United States,2014,2946,Finance,Investment Managers
AIRI,Air Industries Group Common Stock,$0.91 ,0.0072,0.80%,29310380,United States,,16836,Capital Goods,Military/Government/Technical
AMBO,Ambow Education Holding Ltd. American Depository Shares each representing two Class A ordinary shares,$0.72 ,0,0.00%,16642405,China,,129,Miscellaneous,Service to the Health Industry
AMPE,Ampio Pharmaceuticals Inc.,$0.46 ,-0.0031,-0.68%,103548424,United States,,122674,Health Care,Biotechnology: Pharmaceutical Preparations
AMS,American Shared Hospital Services Common Stock,$2.42 ,0,0.00%,14200560,United States,,621,Health Care,Medical Specialities
APT,Alpha Pro Tech Ltd. Common Stock,$4.14 ,0.0089,0.22%,54767543,Canada,,64655,,
AREN,The Arena Group Holdings Inc. Common Stock,$8.26 ,-0.41,-4.73%,138681774,,,3490,,
ARMP,Armata Pharmaceuticals Inc. Common Stock,$5.31 ,0.3014,6.02%,163203871,United States,,2113,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),$0.81 ,0.0214,2.72%,82786328,Canada,,69901,,
ASXC,Asensus Surgical Inc. Common Stock,$0.71 ,0.0392,5.85%,166803840,United States,,699942,Health Care,Medical/Dental Instruments
ATNM,Actinium Pharmaceuticals Inc. (Delaware) Common Stock,$5.06 ,-0.02,-0.39%,111476040,United States,,17645,Health Care,Biotechnology: Pharmaceutical Preparations
AUMN,Golden Minerals Company Common Stock,$0.46 ,0.0239,5.47%,75036646,United States,,278920,Basic Industries,Metal Mining
AWX,Avalon Holdings Corporation Common Stock,$3.20 ,0.0001,0.00%,12478569,United States,,288,Public Utilities,Environmental Services
AXU,Alexco Resource Corp Common Shares (Canada),$1.48 ,-0.0098,-0.66%,229802384,Canada,,157335,,
BATL,Battalion Oil Corporation Common Stock,$18.00 ,0.0216,0.12%,292956472,,,1881,Energy,Oil & Gas Production
BCV,Bancroft Fund Ltd.,$22.42 ,-0.12,-0.53%,123708762,United States,,2668,Finance,Finance/Investors Services
BDL,Flanigan's Enterprises Inc. Common Stock,$29.40 ,0.335,1.15%,54644222,United States,,479,Consumer Services,Restaurants
BDR,Blonder Tongue Laboratories Inc. Common Stock,$0.45 ,-0.034,-7.03%,5578994,United States,,5603,Technology,Radio And Television Broadcasting And Communications Equipment
BGI,Birks Group Inc. Common Stock,$4.50 ,0,0.00%,82480244,Canada,,11150,,
BHB,Bar Harbor Bankshares Inc. Common Stock,$29.54 ,-0.11,-0.37%,443129540,United States,,615,Finance,Major Banks
BKTI,BK Technologies Corporation Common Stock,$2.46 ,-0.0901,-3.53%,41361585,United States,,3248,Technology,Radio And Television Broadcasting And Communications Equipment
BMTX,BM Technologies Inc. Common Stock,$9.69 ,0.2392,2.53%,118270038,,2018,23946,Technology,EDP Services
BRBS,Blue Ridge Bankshares Inc. Common Stock,$16.94 ,-0.15,-0.88%,318032949,,,611,Finance,Commercial Banks
BRG,Bluerock Residential Growth REIT Inc. Class A Common Stock,$26.56 ,0.0488,0.18%,732213527,,2014,14192,Consumer Services,Real Estate Investment Trusts
BRG^C,Bluerock Residential Growth REIT Inc. 7.625% Series C Cumulative Redeemable Preferred Stock,$25.41 ,0,0.00%,,,,11,,
BRG^D,Bluerock Residential Growth REIT Inc. 7.125% Series D Cumulative Preferred Stock ($0.01 par value per share),$25.36 ,0,0.00%,,,,4500,,
BRN,Barnwell Industries Inc. Common Stock,$2.47 ,0.035,1.44%,23287397,United States,,114238,Energy,Oil & Gas Production
BTG,B2Gold Corp Common shares (Canada),$4.07 ,-0.0402,-0.98%,4296018181,Canada,,2679478,,
BTN,Ballantyne Strong Inc. Common Stock,$2.90 ,-0.07,-2.36%,55783437,United States,,2619,Miscellaneous,Industrial Machinery/Components
BTTR,Better Choice Company Inc. Common Stock,$3.58 ,-0.1846,-4.91%,104549405,,2021,20823,Consumer Non-Durables,Food Distributors
CANF,Can-Fite Biopharma Ltd Sponsored ADR (Israel),$1.11 ,-0.01,-0.89%,30182613,Israel,,50291,Health Care,Biotechnology: Pharmaceutical Preparations
CCF,Chase Corporation Common Stock,$92.64 ,0,0.00%,876345218,United States,,205,Basic Industries,Paints/Coatings
CEI,Camber Energy Inc. Common Stock,$0.49 ,-0.0104,-2.07%,122950000,United States,,3681019,Energy,Oil & Gas Production
CET,Central Securities Corporation Common Stock,$40.95 ,-0.125,-0.30%,1116422093,United States,,6606,Finance,Finance/Investors Services
CEV,Eaton Vance California Municipal Income Trust Shares of Beneficial Interest,$12.20 ,-0.0001,0.00%,87028902,United States,1999,12126,Finance,Finance/Investors Services
CIK,Credit Suisse Asset Management Income Fund Inc. Common Stock,$3.10 ,-0.025,-0.80%,161962263,United States,,26445,Finance,Finance/Investors Services
CIX,CompX International Inc. Common Stock,$22.43 ,-0.05,-0.22%,278258887,United States,1998,444,Miscellaneous,Diversified Manufacture
CKX,CKX Lands Inc. Common Stock,$11.27 ,0.06,0.54%,21891919,United States,,185,Energy,Oil & Gas Production
CLM,Cornerstone Strategic Value Fund Inc. New Common Stock,$13.52 ,-0.3994,-2.87%,1593790846,United States,1987,1886364,Finance,Finance/Investors Services
CMCL,Caledonia Mining Corporation Plc Common Shares,$12.24 ,-0.33,-2.63%,157077462,Canada,,5428,Basic Industries,Precious Metals
CMT,Core Molding Technologies Inc Common Stock,$8.49 ,0.11,1.31%,68627039,United States,,1467,Consumer Durables,Electronic Components
COHN,Cohen & Company Inc.,$14.93 ,0.1148,0.78%,25342824,United States,,814,Finance,Investment Managers
CPHI,China Pharma Holdings Inc. Common Stock,$0.46 ,0.0463,11.25%,21672049,China,,101989,Health Care,Biotechnology: Pharmaceutical Preparations
CQP,Cheniere Energy Partners LP Cheniere Energy Partners LP Common Units,$47.86 ,-0.2,-0.42%,23165466317,United States,2007,30343,Public Utilities,Oil/Gas Transmission
CRF,Cornerstone Total Return Fund Inc. (The) Common Stock,$13.17 ,-0.32,-2.37%,819520806,United States,,883999,Finance,Finance/Investors Services
CTEK,CynergisTek Inc. Common Stock,$1.29 ,0.03,2.38%,17010002,United States,2017,3052,Technology,Retail: Computer Software & Peripheral Equipment
CTGO,Contango ORE Inc. Common Stock,$23.68 ,0,0.00%,159738685,,2021,117,Basic Industries,Precious Metals
CVM,Cel-Sci Corporation Common Stock,$5.45 ,0.14,2.64%,235852772,United States,,53383,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CVR,Chicago Rivet & Machine Co. Common Stock,$27.37 ,0,0.00%,26443033,United States,,202,Consumer Non-Durables,Industrial Specialties
CVU,CPI Aerostructures Inc. Common Stock,$2.35 ,-0.04,-1.67%,29013615,United States,,16002,Capital Goods,Military/Government/Technical
CYBN,Cybin Inc. Common Shares,$1.02 ,-0.02,-1.92%,167529507,,,290832,,
DHY,Credit Suisse High Yield Bond Fund Common Stock,$2.22 ,-0.015,-0.67%,229282923,United States,1998,62710,Finance,Finance/Investors Services
DIT,AMCON Distributing Company Common Stock,$150.00 ,-3.81,-2.48%,87418350,United States,,113,Consumer Non-Durables,Food Distributors
DLA,Delta Apparel Inc. Common Stock,$30.32 ,-0.24,-0.79%,210689829,United States,,1311,Consumer Non-Durables,Department/Specialty Retail Stores
DMF,BNY Mellon Municipal Income Inc. Common Stock,$7.86 ,-0.06,-0.76%,163136902,United States,1988,6667,Finance,Finance/Investors Services
DNN,Denison Mines Corp Ordinary Shares (Canada),$1.23 ,0.03,2.50%,993055849,Canada,,2478770,,
DSS,DSS Inc. Common Stock,$0.39 ,-0.0227,-5.57%,58197293,United States,,125526,Consumer Services,Recreational Products/Toys
DXF,Dunxin Financial Holdings Limited American Depositary Shares,$0.60 ,-0.0499,-7.68%,12527512,China,,69286,Consumer Non-Durables,Apparel
EAD,Allspring Income Opportunities Fund Common Shares,$7.80 ,-0.02,-0.26%,472572469,United States,2003,18761,Finance,Finance/Investors Services
ECF,Ellsworth Growth and Income Fund Ltd.,$10.54 ,-0.122,-1.14%,142257288,United States,1986,22916,Finance,Finance/Investors Services
ECF^A,Ellsworth Growth and Income Fund Ltd. 5.25% Series A Cumulative Preferred Shares (Liquidation Preference $25.00 per share),$25.12 ,-0.24,-0.95%,,United States,,300,,
EIM,Eaton Vance Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$12.18 ,-0.1,-0.81%,876389781,United States,2002,11423,Finance,Finance/Investors Services
ELA,Envela Corporation Common Stock,$4.10 ,0,0.00%,110389962,United States,,95,Consumer Services,Consumer Specialties
ELLO,Ellomay Capital Ltd Ordinary Shares (Israel),$26.05 ,-0.95,-3.52%,334724135,Israel,,449,Public Utilities,Electric Utilities: Central
ELMD,Electromed Inc. Common Stock,$11.94 ,-0.213,-1.75%,101862468,United States,2011,1995,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EMAN,eMagin Corporation Common Stock,$1.25 ,0.0108,0.87%,90907751,United States,,80645,Capital Goods,Industrial Machinery/Components
EMX,EMX Royalty Corporation Common Shares (Canada),$2.37 ,-0.06,-2.47%,249684740,Canada,,52984,,
ENSV,Enservco Corporation Common Stock,$0.59 ,0.0272,4.83%,6745048,United States,,204689,Energy,Oilfield Services/Equipment
ENX,Eaton Vance New York Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$11.11 ,-0.01,-0.09%,201294246,United States,2002,7067,Finance,Finance/Investors Services
EPM,Evolution Petroleum Corporation Inc. Common Stock,$6.95 ,0.11,1.61%,234136319,United States,,79377,Energy,Oil & Gas Production
EQX,Equinox Gold Corp. Common Shares,$6.58 ,0,0.00%,1981548866,Canada,,300158,,
ERC,Allspring Multi-Sector Income Fund Common Stock,$11.24 ,-0.0831,-0.73%,315667804,United States,2003,32216,Finance,Finance/Investors Services
ERH,Allspring Utilities and High Income Fund Common Shares,$12.65 ,-0.0806,-0.63%,117464605,,2004,966,Finance,Finance/Investors Services
ESP,Espey Mfg. & Electronics Corp. Common Stock,$13.01 ,0,0.00%,35161255,United States,,81,Capital Goods,Industrial Machinery/Components
EVBN,Evans Bancorp Inc. Common Stock,$40.53 ,-0.6899,-1.67%,222216649,United States,,558,Finance,Major Banks
EVI,EVI Industries Inc.  Common Stock,$20.72 ,0.18,0.88%,254718606,United States,,5814,Capital Goods,Industrial Machinery/Components
EVM,Eaton Vance California Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$10.42 ,-0.03,-0.29%,260441012,United States,2002,15715,Finance,Finance/Investors Services
EVV,Eaton Vance Limited Duration Income Fund Common Shares of Beneficial Interest,$11.79 ,-0.0242,-0.21%,1369159427,United States,2003,74101,Finance,Finance/Investors Services
EXN,Excellon Resources Inc. Common Shares,$0.75 ,-0.0051,-0.67%,24910165,,2020,19441,,
FAX,Aberdeen Asia-Pacific Income Fund Inc Common Stock,$3.61 ,-0.015,-0.41%,892943247,United States,1986,98053,Finance,Investment Managers
FCO,Aberdeen Global Income Fund Inc. Common Stock,$6.99 ,-0.23,-3.19%,61953635,United States,1992,30311,Finance,Investment Managers
FEN,First Trust Energy Income and Growth Fund,$15.13 ,-0.0498,-0.33%,294276989,United States,2004,7802,Finance,Finance/Investors Services
FRD,Friedman Industries Inc. Common Stock,$7.90 ,0.14,1.80%,54162471,United States,,13899,Basic Industries,Steel/Iron Ore
FSI,Flexible Solutions International Inc. Common Stock (CDA),$3.65 ,-0.04,-1.08%,44994448,Canada,,3266,Capital Goods,Recreational Products/Toys
FSP,Franklin Street Properties Corp. Common Stock,$5.58 ,-0.095,-1.68%,579791749,United States,,84564,Consumer Services,Real Estate Investment Trusts
FTF,Franklin Limited Duration Income Trust Common Shares of Beneficial Interest,$7.91 ,0.005,0.06%,238342825,United States,2003,36947,Finance,Finance/Investors Services
FTSI,FTS International Inc. Class A Common Stock,$26.44 ,0.02,0.08%,371821780,United States,2020,10973,Energy,Oilfield Services/Equipment
FURY,Fury Gold Mines Limited Common Shares,$0.71 ,0.012,1.71%,89279234,,2020,51992,,
GAU,Galiano Gold Inc.,$0.75 ,-0.0007,-0.09%,169427409,Canada,,49317,,
GBR,New Concept Energy Inc Common Stock,$2.64 ,0.3099,13.30%,13548306,United States,,831175,Consumer Services,Real Estate
GGN,GAMCO Global Gold Natural Resources & Income Trust,$3.83 ,0.03,0.79%,589961457,United States,2005,307474,Finance,Finance/Investors Services
GGN^B,GAMCO Global Gold Natural Reources & Income Trust 5.00% Series B Cumulative 25.00 Liquidation Preference,$24.87 ,0,0.00%,,United States,,1,,
GLDG,GoldMining Inc. Common Shares,$1.66 ,-0.0089,-0.53%,249567169,,,307228,,
GLO,Clough Global Opportunities Fund Common Stock,$9.38 ,-0.125,-1.32%,375811988,United States,2006,89777,Finance,Finance/Investors Services
GLQ,Clough Global Equity Fund Clough Global Equity Fund Common Shares of Beneficial Interest,$11.70 ,-0.29,-2.42%,207278113,United States,2005,38005,Finance,Finance/Investors Services
GLTA,Galata Acquisition Corp. Class A Ordinary Shares,$9.80 ,0,0.00%,176093750,,2021,49,,
GLU,Gabelli Global Utility Common Shares of Beneficial Ownership,$19.58 ,-0.235,-1.19%,105217367,United States,2004,1581,Finance,Finance/Investors Services
GLU^A,The Gabelli Global Utility and Income Trust Series A Cumulative Puttable and Callable Preferred Shares,$47.39 ,0,0.00%,,United States,,1,,
GLU^B,The Gabelli Global Utility and Income Trust Series B Cumulative Puttable and Callable Preferred Shares,$51.05 ,-0.04,-0.08%,,United States,,189,,
GLV,Clough Global Dividend and Income Fund Common Shares of beneficial interest,$9.58 ,-0.0706,-0.73%,108259606,United States,2004,10924,Finance,Finance/Investors Services
GOED,1847 Goedeker Inc. Commom Stock,$1.98 ,-0.03,-1.49%,210646917,United States,2020,382878,Capital Goods,Recreational Products/Toys
GORO,Gold Resource Corporation Common Stock,$1.77 ,-0.02,-1.12%,156284467,United States,,332074,Basic Industries,Precious Metals
GPL,Great Panther Mining Limited Ordinary Shares (Canada),$0.21 ,0.0093,4.65%,93273652,Canada,,556424,,
GRF,Eagle Capital Growth Fund Inc. Common Stock,$9.79 ,0.5199,5.61%,39739329,United States,,3211,Finance,Finance/Investors Services
GROY,Gold Royalty Corp. Common Shares,$4.19 ,-0.05,-1.18%,561156229,,2021,115212,,
GSAT,Globalstar Inc. Common Stock,$1.03 ,0.03,3.00%,1846790000,United States,2006,760401,Consumer Services,Telecommunications Equipment
GSV,Gold Standard Ventures Corporation Common Stock (Canada),$0.39 ,-0.0026,-0.66%,139966368,Canada,,179682,,
GTE,Gran Tierra Energy Inc. Common Stock,$1.34 ,0.0804,6.38%,492120488,Canada,,2517136,Energy,Oil & Gas Production
HNW,Pioneer Diversified High Income Fund Inc.,$13.68 ,-0.12,-0.87%,113992567,United States,2007,10933,Finance,Finance/Investors Services
HTBX,Heat Biologics Inc. Common Stock,$2.68 ,0.02,0.75%,68081431,United States,,17931,Health Care,Biotechnology: Pharmaceutical Preparations
HUSA,Houston American Energy Corporation Common Stock,$1.23 ,0.1,8.85%,12211856,United States,,914984,Energy,Oil & Gas Production
HWM^,Howmet Aerospace Inc. $3.75 Preferred Stock,$76.25 ,0,0.00%,,United States,,4,,
IAF,Aberdeen Australia Equity Fund Inc Common Stock,$5.70 ,0.07,1.24%,136324552,United States,,12093,Finance,Finance/Investors Services
IBIO,iBio Inc. Common Stock,$0.34 ,-0.0026,-0.76%,73689997,United States,,810860,Health Care,Biotechnology: Pharmaceutical Preparations
ID,PARTS iD Inc. Class A Common Stock,$2.01 ,-0.1,-4.74%,66678647,United States,2017,4967,Miscellaneous,Diversified Commercial Services
IDW,IDW Media Holdings Class B Common Stock,$1.86 ,0,0.00%,24135427,,2021,926,Consumer Services,Newspapers/Magazines
IGC,India Globalization Capital Inc. Common Stock,$1.03 ,-0.0044,-0.43%,52361000,United States,,56916,Technology,Engineering & Construction
IHT,InnSuites Hospitality Trust Shares of Beneficial Interest,$3.64 ,-0.0452,-1.23%,32940747,United States,,351,Consumer Services,Real Estate Investment Trusts
IMH,Impac Mortgage Holdings Inc. Common Stock ,$0.79 ,-0.025,-3.09%,16746157,United States,1997,1297,Finance,Finance: Consumer Services
IMO,Imperial Oil Limited Common Stock,$43.72 ,0.29,0.67%,29646532000,Canada,,69439,,
INDO,Indonesia Energy Corporation Limited Ordinary Shares,$7.24 ,2.7498,61.24%,53921705,,2019,20333381,Energy,Oil & Gas Production
INFU,InfuSystems Holdings Inc. Common Stock,$10.79 ,0.02,0.19%,223348101,United States,,28213,Health Care,Medical/Dental Instruments
